Longueur du Texte,Temps de création de l'index
26,0.0
603,0.0019943714141845703
1181,0.0029938220977783203
1759,0.00897669792175293
2337,0.013963699340820312
2914,0.016955137252807617
3492,0.02393484115600586
4070,0.029919147491455078
4648,0.041887521743774414
5226,0.0468754768371582
26,0.0
603,0.021939754486083984
1181,0.003986358642578125
1759,0.005983829498291016
2337,0.008977651596069336
2914,0.013965845108032227
3492,0.02194809913635254
4070,0.02393507957458496
4648,0.02991962432861328
5226,0.045877695083618164
26,0.0
603,0.0019958019256591797
1181,0.0029914379119873047
1759,0.00698089599609375
2337,0.009974956512451172
2914,0.012965679168701172
3492,0.01596808433532715
4070,0.01994490623474121
4648,0.031914472579956055
5226,0.03390765190124512
26,0.0
603,0.001996755599975586
1181,0.006982088088989258
1759,0.0069811344146728516
2337,0.023935556411743164
2914,0.02294015884399414
3492,0.021941423416137695
4070,0.023961305618286133
4648,0.017952680587768555
5226,0.04239606857299805
